19960918,8.5312
19960919,8.6094
19960920,8.6331
19960923,8.6094
19960924,8.555
19960925,8.4769
19960926,8.25
19960927,8.3988
19960930,8.2425
19961001,8.2581
19961002,8.4219
19961003,8.375
19961004,8.5238
19961007,8.5938
19961008,8.4613
19961009,8.4062
19961010,8.3594
19961011,8.5706
19961014,8.5394
19961015,8.68
19961016,8.625
19961017,8.4688
19961018,8.4219
19961021,8.375
19961022,8.2812
19961023,8.4062
19961024,8.5394
19961025,8.5275
19961028,8.5394
19961029,8.4613
19961030,8.5156
19961031,8.5781
19961101,8.5863
19961104,8.625
19961105,8.8438
19961106,9.0312
19961107,8.9688
19961108,8.9688
19961111,8.9769
19961112,8.8594
19961113,9.0625
19961114,9.3519
19961115,9.3125
19961118,9.3988
19961119,9.7425
19961120,9.5781
19961121,9.3988
19961122,9.4062
19961125,9.5938
19961126,9.6094
19961127,9.7188
19961129,9.805
19961202,9.8594
19961203,9.6681
19961204,9.5781
19961205,9.5625
19961206,9.555
19961209,10.2188
19961210,10.2338
19961211,10.4213
19961212,10.125
19961213,10
19961216,9.5938
19961217,9.9838
19961218,10.3275
19961219,10.6088
19961220,10.4525
19961223,10.4688
19961224,10.6088
19961226,10.6875
19961227,10.5312
19961230,10.4375
19961231,10.3275
19970102,10.2025
19970103,10.5775
19970106,10.5463
19970107,10.625
19970108,10.4213
19970109,10.2963
19970110,10.5312
19970113,10.4688
19970114,10.6713
19970115,10.5775
19970116,10.75
19970117,10.89
19970120,11.3438
19970121,11.875
19970122,12.1713
19970123,11.8438
19970124,11.9925
19970127,12.015
19970128,11.9525
19970129,12.1562
19970130,12.64
19970131,12.75
19970203,12.7963
19970204,12.89
19970205,12.2963
19970206,12.14
19970207,12.5463
19970210,12.2188
19970211,12.3125
19970212,12.4838
19970213,12.5
19970214,12.2338
19970218,12.1713
19970219,12.1875
19970220,11.9062
19970221,11.875
19970224,12.515
19970225,12.4375
19970226,12.5312
19970227,12.015
19970228,12.1875
19970303,12.4375
19970304,12.39
19970305,12.6088
19970306,12.2188
19970307,12.0938
19970310,12.5
19970311,12.2963
19970312,12.3438
19970313,12.4525
19970314,12.375
19970317,12.5625
19970318,12.4525
19970319,12.0938
19970320,12
19970321,11.75
19970324,11.265
19970325,11.2887
19970326,11.7812
19970327,11.7188
19970331,11.4613
19970401,11.6562
19970402,11.5
19970403,11.89
19970404,11.7738
19970407,11.9838
19970408,12.2812
19970409,12.25
19970410,12.0938
19970411,11.875
19970414,12.1713
19970415,12.14
19970416,12.2812
19970417,12.265
19970418,13.4525
19970421,13.4525
19970422,13.8275
19970423,14.39
19970424,14.265
19970425,14.2025
19970428,14.3588
19970429,14.875
19970430,15.1875
19970501,15.125
19970502,15.0938
19970505,15.0238
19970506,14.6637
19970507,14.4375
19970508,14.5463
19970509,14.5938
19970512,14.765
19970513,14.7188
