19951023,6.0231,11.0231
19951024,6.0938,11.0938
19951025,5.9919,10.9919
19951026,6.125,11.125
19951027,6.25,11.25
19951030,6.4219,11.4219
19951031,6.25,11.25
19951101,6.1481,11.1481
19951102,6.25,11.25
19951103,6.2188,11.2188
19951106,6.0856,11.0856
19951107,5.8125,10.8125
19951108,5.9531,10.9531
19951109,6.1875,11.1875
19951110,6.0544,11.0544
19951113,6.0194,11.0194
19951114,5.875,10.875
19951115,5.875,10.875
19951116,5.6169,10.6169
19951117,5.4606,10.4606
19951120,5.375,10.375
19951121,5.5,10.5
19951122,5.4606,10.4606
19951124,5.5,10.5
19951127,5.4531,10.4531
19951128,5.7188,10.7188
19951129,5.6094,10.6094
19951130,5.445,10.445
19951201,5.3906,10.3906
19951204,5.4919,10.4919
19951205,5.375,10.375
19951206,5.6638,10.6638
19951207,5.6562,10.6562
19951208,5.9062,10.9062
19951211,5.82,10.82
19951212,5.7106,10.7106
19951213,5.7344,10.7344
19951214,5.5469,10.5469
19951215,5.5231,10.5231
19951218,5.4375,10.4375
19951219,5.6794,10.6794
19951220,5.445,10.445
19951221,5.625,10.625
19951222,5.6562,10.6562
19951226,5.6406,10.6406
19951227,5.5544,10.5544
19951228,5.4606,10.4606
19951229,5.4844,10.4844
19960102,5.6094,10.6094
19960103,5.4294,10.4294
19960104,5.4606,10.4606
19960105,5.3981,10.3981
19960108,5.3906,10.3906
19960109,5.0119,10.0119
19960110,5.1481,10.1481
19960111,5.4138,10.4138
19960112,5.3594,10.3594
19960115,5.1562,10.1562
19960116,5.3981,10.3981
19960117,5.3044,10.3044
19960118,5.4763,10.4763
19960119,5.7419,10.7419
19960122,5.75,10.75
19960123,5.5938,10.5938
19960124,5.7031,10.7031
19960125,5.5856,10.5856
19960126,5.6562,10.6562
19960129,5.6481,10.6481
19960130,5.6756,10.6756
19960131,5.7812,10.7812
19960201,5.8825,10.8825
19960202,5.8125,10.8125
19960205,6.07,11.07
19960206,6.0312,11.0312
19960207,6.0544,11.0544
19960208,6.1794,11.1794
19960209,6.2575,11.2575
19960212,6.2188,11.2188
19960213,6.2263,11.2263
19960214,6.1719,11.1719
19960215,6.1562,11.1562
19960216,6.1169,11.1169
19960220,6.1094,11.1094
19960221,6.2419,11.2419
19960222,6.4062,11.4062
19960223,6.4688,11.4688
19960226,6.2888,11.2888
19960227,6.2575,11.2575
19960228,6.2575,11.2575
19960229,6.1681,11.1681
19960301,5.9688,10.9688
19960304,6.0156,11.0156
19960305,6.1325,11.1325
19960306,6.0625,11.0625
19960307,6.0819,11.0819
19960308,5.945,10.945
19960311,6.0312,11.0312
19960312,5.9844,10.9844
19960313,6.3044,11.3044
19960314,6.2263,11.2263
19960315,6.3981,11.3981
19960318,6.5781,11.5781
19960319,6.6794,11.6794
